star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-388 b 1 4103 0.63 0.6 -0.04 1.28707676 13.235 12.003 13.206 16.788 15.517 16.645 13.441 12.727 36.3
STAR-301 b 1 6020 1.09 1.13 0.03 40.0686727 13.092 28.04 31.159 15.166 14.658 14.973 13.542 13.223 44.5
STAR-128 b 2 5513 0.931 0.935 NA 16.087845 12.815 12.003 13.206 14.536 13.944 14.291 12.797 12.432 32.7
STAR-131 b 2 NA NA NA NA 13.722341 13.283 4.956 5.811 14.19 13.701 13.984 12.631 12.284 51.6
STAR-093 b 3 5643 0.91 1.065 -0.15 0.8374907 13.798 29.699 31.82 11.388 10.92 11.191 9.888 9.563 36.5
STAR-134 b 2 5266 0.92 0.85 0.21 4.03046804 14.115 15.4 16.898 15.618 14.856 15.388 13.577 13.16 24.7
STAR-425 b 1 6206 1.16 1.22 0.02 21.41616926 12.427 14.007 15.061 13.885 13.471 13.713 12.577 12.317 57.9
STAR-024 c 2 5723 0.943 0.899 NA 36.337373 13.315 15.4 16.898 16.345 15.722 16.123 14.5 14.16 46.8
STAR-048 b 1 5849 1.08 1.35 0.13 3.03214559 13.103 14.007 15.061 14.142 13.64 13.922 12.525 12.237 25
STAR-058 c 3 5180 0.74 1.037 NA 6.581484 13.692 14.007 15.061 16.26 15.398 16.042 13.916 13.448 27.6
STAR-585 b 4 5829 0.95 1.017 NA 7.384108 13.941 24.269 26.1 15.903 15.301 15.667 14.095 13.727 39.7
STAR-043 d 3 5828 1.19 1.548 NA 15.274299 14.059 4.956 5.811 13.89 13.43 13.647 12.352 12.047 33.6
STAR-018 c 3 4263 0.577 0.556 NA 16.384888 13.796 12.003 13.206 16.328 15.068 16.131 13.153 12.506 57.3
STAR-618 b 5 NA NA NA NA 3.6961219 12.579 4.956 5.811 12.997 12.423 12.814 11.252 10.91 41.8
STAR-367 c 3 6034 1.208 1.306 NA 42.632728 13.479 15.4 16.898 15.592 15.199 15.418 14.233 13.983 47.7
STAR-356 b 2 5665 1.02 1.19 0.23 14.70748976 13.056 14.9 16.047 13.866 13.326 13.676 12.194 11.868 64.2
STAR-328 b 4 6228 1.16 1.42 -0.1 12.1097104 12.69 20.941 22.518 14.645 14.281 13.369 13.146 13.109 44.1
STAR-246 b 4 4252 0.549 0.559 NA 7.203871 12.558 10.275 11.331 16.628 15.264 16.395 13.183 12.487 44.5
STAR-692 c 2 NA 0.014184 NA NA 13.2907 13.975 14.007 15.061 15.793 15.239 15.576 14.131 13.673 39.4
STAR-067 c 5 5904 1.291 1.82 0.025 13.17562 13.245 12.003 13.206 14.392 13.943 14.194 12.871 12.619 39.1
STAR-294 d NA NA NA NA NA NA 12.876 10.275 11.331 14.014 12.893 9.68 9.506 12.925 68.1
STAR-257 b 1 5714 0.98 1.11 0.03 12.99207337 12.136 16.662 18.119 14.524 13.914 14.262 12.739 12.339 40.1
STAR-713 d 5 4903 0.8 0.74 0.08 10.3117 13.112 3.816 4.606 12.289 11.428 12.108 9.983 9.445 31.9
STAR-495 b 3 5774 1.028 1.044 NA 1.732342 12.219 2.505 3.3 14.46 13.951 14.263 12.939 12.627 37.7
STAR-282 b 1 5476 0.9 0.87 -0.03 3.98953967 13.123 28.04 31.159 14.69 14.028 14.512 12.76 12.353 51
STAR-617 b 1 5816 1.06 1.34 0.12 14.55731705 11.972 4.956 5.811 13.935 13.359 13.685 12.121 11.794 31
STAR-506 b 1 6037 1.07 1.11 -0.02 11.29695137 13.058 28.04 31.159 15.221 14.762 15.051 13.662 13.339 42.9
STAR-280 b 2 6014 1.09 1.1 0.02 7.97419807 14.148 10.275 11.331 14.391 13.871 14.161 12.728 12.46 35.1
STAR-440 c 2 5274 0.77 1.094 NA 20.17202 13.119 2.505 3.3 15.434 14.637 15.2 13.25 12.769 28.8
STAR-724 b 1 5913 1.04 1.04 -0.03 2.82019241 13.539 2.505 3.3 15.061 14.607 14.87 13.625 13.3 42.3
STAR-323 b 1 5785 0.99 1.08 -0.01 5.66067294 13.075 4.956 5.811 13.97 13.464 13.759 12.305 11.968 28.4
STAR-430 b 1 6027 1.32 1.96 0.1 4.885525 12.425 4.956 5.811 13.26 12.815 13.037 11.833 11.601 17.6
STAR-629 c 2 6031 1.06 0.949 NA 8.005777 12.9 28.04 31.159 14.658 14.188 14.456 13.08 12.762 35
STAR-364 b 1 5670 1.154 1.764 0.169 7.2584481 12.165 2.505 3.3 15.334 14.688 15.113 13.461 13.137 27.9
STAR-484 b 2 5626 0.916 0.815 NA 2.936532 13.629 29.699 31.82 15.512 14.921 15.289 13.682 13.349 35.9
STAR-370 d 4 5232 NA 0.891 NA 25.751974 13.204 15.4 16.898 15.237 14.472 15.035 13.096 12.685 47.9
STAR-674 b 1 5616 0.95 0.93 0.01 34.18890521 13.423 2.505 3.3 14.578 14.039 14.357 12.923 12.583 46.4
STAR-072 d 4 6003 NA 1.178 NA 18.010199 12.189 10.275 11.331 12.172 11.749 11.962 10.797 10.516 37.9
STAR-085 b 2 5682 0.98 0.97 0.05 10.3507721 12.367 20.941 22.518 15.175 14.595 14.964 13.384 13.064 47.7
